function_name,latency,arch
compose-post,113.48724365234375,RISCV
compose-post,116.82510375976562,RISCV
compose-post,113.96408081054688,RISCV
compose-post,119.68612670898438,RISCV
compose-post,128.9844512939453,RISCV
compose-post,119.20928955078125,RISCV
compose-post,113.72566223144531,RISCV
compose-post,114.91775512695312,RISCV
compose-post,117.54035949707031,RISCV
compose-post,170.23086547851562,RISCV
compose-post,126.60026550292969,RISCV
compose-post,116.82510375976562,RISCV
compose-post,107.76519775390625,RISCV
compose-post,113.01040649414062,RISCV
compose-post,115.39459228515625,RISCV
compose-post,118.01719665527344,RISCV
compose-post,112.5335693359375,RISCV
compose-post,129.22286987304688,RISCV
compose-post,116.82510375976562,RISCV
compose-post,116.58668518066406,RISCV
compose-post,125.64659118652344,RISCV
compose-post,123.26240539550781,RISCV
compose-post,111.57989501953125,RISCV
compose-post,125.16975402832031,RISCV
compose-post,121.11663818359375,RISCV
compose-post,115.87142944335938,RISCV
compose-post,115.15617370605469,RISCV
compose-post,109.91096496582031,RISCV
compose-post,200.0,RISCV
compose-post,107.04994201660156,RISCV
compose-post,99.42054748535156,RISCV
compose-post,96.79794311523438,RISCV
compose-post,96.79794311523438,RISCV
compose-post,97.99003601074219,RISCV
compose-post,96.08268737792969,RISCV
compose-post,98.94371032714844,RISCV
compose-post,99.18212890625,RISCV
compose-post,96.55952453613281,RISCV
compose-post,187.6354217529297,RISCV
compose-post,104.66575622558594,RISCV
compose-post,150.6805419921875,RISCV
compose-post,100.37422180175781,RISCV
compose-post,98.70529174804688,RISCV
compose-post,97.99003601074219,RISCV
compose-post,96.08268737792969,RISCV
compose-post,98.70529174804688,RISCV
compose-post,99.18212890625,RISCV
compose-post,96.79794311523438,RISCV
compose-post,100.61264038085938,RISCV
compose-post,99.65896606445312,RISCV
compose-post,97.75161743164062,RISCV
compose-post,97.99003601074219,RISCV
compose-post,98.46687316894531,RISCV
compose-post,95.12901306152344,RISCV
compose-post,102.04315185546875,RISCV
compose-post,97.99003601074219,RISCV
compose-post,97.75161743164062,RISCV
compose-post,99.42054748535156,RISCV
compose-post,97.51319885253906,RISCV
compose-post,97.99003601074219,RISCV
compose-post,98.22845458984375,RISCV
compose-post,99.89738464355469,RISCV
compose-post,97.75161743164062,RISCV
compose-post,97.51319885253906,RISCV
compose-post,185.48965454101562,RISCV
compose-post,99.89738464355469,RISCV
compose-post,96.32110595703125,RISCV
compose-post,96.08268737792969,RISCV
compose-post,99.65896606445312,RISCV
compose-post,98.94371032714844,RISCV
compose-post,97.2747802734375,RISCV
compose-post,98.46687316894531,RISCV
compose-post,95.367431640625,RISCV
compose-post,99.89738464355469,RISCV
compose-post,98.46687316894531,RISCV
compose-post,101.32789611816406,RISCV
compose-post,100.13580322265625,RISCV
compose-post,98.94371032714844,RISCV
compose-post,97.99003601074219,RISCV
compose-post,97.2747802734375,RISCV
compose-post,96.55952453613281,RISCV
compose-post,100.13580322265625,RISCV
compose-post,102.28157043457031,RISCV
compose-post,98.22845458984375,RISCV
compose-post,99.18212890625,RISCV
compose-post,98.94371032714844,RISCV
compose-post,97.03636169433594,RISCV
